Part Name,Material Name
"NVH_Foam_2,_HV_Battery_Busbar_Protection_1__A2992800262_(4MFC9X-Com_00204245)",S3
"Bracket,_HV_Battery_Connector_Terminal__A2991200632_(4MFC9X-Com_00229530)",S2
"Thermal_Pad,_HV_Battery_Cell_Pack__A2992800249_(4MFC9X-Com_00283010)",S3
"Separator,_HV_Battery_Cell_Pack__A2992800250_(4MFC9X-Com_00283011)",MS04
"Separator_2,_HV_Battery_Cell_Pack__A2992800251_(4MFC9X-Com_00283012)",MS04
"Separator_2,_HV_Battery_Cell_Pack_1__A2992800251_(4MFC9X-Com_00283012)",MS04
"Separator_3,_HV_Battery_Cell_Pack__A2992800252_(4MFC9X-Com_00283013)",MS04
"Separator_4,_HV_Battery_Cell_Pack__A2992800253_(4MFC9X-Com_00283014)",MS04
"Separator_4,_HV_Battery_Cell_Pack_1__A2992800253_(4MFC9X-Com_00283014)",MS04
"Separator_5,_HV_Battery_Cell_Pack__A2992800254_(4MFC9X-Com_00283015)",MS04
"Separator_5,_HV_Battery_Cell_Pack_1__A2992800254_(4MFC9X-Com_00283015)",MS04
"Separator_6,_HV_Battery_Cell_Pack__A2992800255_(4MFC9X-Com_00283016)",MS04
"Separator_6,_HV_Battery_Cell_Pack_1__A2992800255_(4MFC9X-Com_00283016)",MS04
"Separator_7,_HV_Battery_Cell_Pack__A2992800256_(4MFC9X-Com_00283017)",MS04
"Separator_7,_HV_Battery_Cell_Pack_1__A2992800256_(4MFC9X-Com_00283017)",MS04
"Separator_8,_HV_Battery_Cell_Pack__A2992800257_(4MFC9X-Com_00283018)",S2
"Separator_8,_HV_Battery_Cell_Pack_1__A2992800257_(4MFC9X-Com_00283018)",S2
"Sleeve,_HV_Battery_Fastener_Protector__A2992800258_(4MFC9X-Com_00283009)",S2
"Sleeve,_HV_Battery_Fastener_Protector_1__A2992800258_(4MFC9X-Com_00283009)",S2
"Bottom_Cover_Assy,_HV_Battery__A2992800213_(4MFC9X-Com_00017489)",MS04
Base_Frame_Assy__A2992800215_(4MFC9X-Com_00017496),S2
"Sleeve,_HV_Battery_Service_Lifting_LH__A2992800245_(4MFC9X-Com_00282978)",S2
"Sleeve,_HV_Battery_Service_Lifting_RH__A2992800246_(4MFC9X-Com_00282979)",S2
"Cover,_HV_Battery_Service_Lifting_Sleeve_LH__A2992800247_(4MFC9X-Com_00282980)",S2
"Cover,_HV_Battery_Service_Lifting_Sleeve_RH__A2992800248_(4MFC9X-Com_00282981)",S2
"Hose_Assy,_HV_Battery_Coolant_Inlet__A2992800233_(4MFC9X-Com_00017577)",MS04
"Hose_Assy,_HV_Battery_Coolant_Outlet__A2992800234_(4MFC9X-Com_00017578)",MS04
"Coupler,_HV_Battery_Coolant_Supply_Hose__A2992800220_(4MFC9X-Com_00282708)",MS04
"Coupler_2,_HV_Battery_Coolant_Supply_Hose__A2992800221_(4MFC9X-Com_00282709)",MS04
"Bracket,_HV_Battery_Coolant_Supply_Hose_Coupler__A2992800227_(4MFC9X-Com_00282885)",MS04
"Bracket,_HV_Battery_Coolant_Supply_Hose_Coupler_2__A2992800228_(4MFC9X-Com_00282710)",MS04
"Gasket,_HV_Battery_Coolant_Supply_Hose_Coupler__A2992800229_(4MFC9X-Com_00282886)",MS04
"Bracket,_HV_Battery_Mounting_Front_LH__A2992800043_(4MFC9X-Com_00054636)",S2
"Bracket_2,_HV_Battery_Mounting_Front_LH__A2992800048_(4MFC9X-Com_00146787)",S2
"Bracket,_HV_Battery_Mounting_Front_RH__A2992800042_(4MFC9X-Com_00054637)",S2
"Bracket_2,_HV_Battery_Mounting_Front_RH__A2992800049_(4MFC9X-Com_00146788)",S2
"Bracket,_HV_Battery_Mounting_Rear_LH__A2992800052_(4MFC9X-Com_00054638)",S2
"Bracket_2,_HV_Battery_Mounting_Rear_LH__A2992800055_(4MFC9X-Com_00160019)",S2
"Bracket,_HV_Battery_Mounting_Rear_RH__A2992800051_(4MFC9X-Com_00054639)",S2
"Bracket_2,_HV_Battery_Mounting_Rear_RH__A2992800054_(4MFC9X-Com_00160018)",S2
"Bracket,_HV_Battery_Mounting_LH__A2992800045_(4MFC9X-Com_00051616)",S2
"Bracket,_HV_Battery_Mounting_LH_1__A2992800045_(4MFC9X-Com_00051616)",S2
"Bracket_2,_HV_Battery_Mounting_LH__A2992800046_(4MFC9X-Com_00121371)",S2
"Bracket_2,_HV_Battery_Mounting_LH_1__A2992800046_(4MFC9X-Com_00121371)",S2
"Bracket,_HV_Battery_Mounting_RH__A2992800044_(4MFC9X-Com_00051617)",S2
"Bracket,_HV_Battery_Mounting_RH_1__A2992800044_(4MFC9X-Com_00051617)",S2
"Bracket_2,_HV_Battery_Mounting_RH__A2992800047_(4MFC9X-Com_00121370)",S2
"Bracket_2,_HV_Battery_Mounting_RH_1__A2992800047_(4MFC9X-Com_00121370)",S2
"Spring,_HV_Battery_Mounting__A2992800116_(4MFC9X-Com_00282140)",MS04
"Spring,_HV_Battery_Mounting_1__A2992800116_(4MFC9X-Com_00282140)",MS04
"Lock,_HV_Battery_Mounting_Bolt__A2992800117_(4MFC9X-Com_00282139)",S11
"Lock,_HV_Battery_Mounting_Bolt_1__A2992800117_(4MFC9X-Com_00282139)",S11
"Pad,_HV_Battery_Mounting_Spring__A2992800118_(4MFC9X-Com_00282141)",S11
"Pad,_HV_Battery_Mounting_Spring_1__A2992800118_(4MFC9X-Com_00282141)",S11
"Breather,_Front_E-Drive__A2992800123_(4MFC9X-Com_00017589)",MS04
"Breather_2,_Front_E-Drive__A2992800138_(4MFC9X-Com_00035499)",MS04
"Breather_2,_Front_E-Drive_1__A2992800138_(4MFC9X-Com_00035499)",MS04
"Fill_Plug,_Front_E-Drive__A2992800141_(4MFC9X-Com_00101553)",S2
"Terminal,_Front_E-Drive_3-Phase_Line__A2991200230_(4MFC9X-Com_00101573)",MS04
"Adapter,_Front_E-Drive_Coolant_Line__A2992800140_(4MFC9X-Com_00101584)",MS04
"Stator,_Front_E-Drive_Resolver__A2992800155_(4MFC9X-Com_00087952)",MS10
"End_Cover,_Front_E-Drive_Motor__A2992800136_(4MFC9X-Com_00017609)",S2
"Seal,_End_Cover_Front_E-Drive_Motor__A2992800144_(4MFC9X-Com_00017612)",MS04
"Rotor,_Front_E-Drive_Resolver__A2992800135_(4MFC9X-Com_00087955)",S2
"Spacer,_Front_E-Drive_Rotor_Shaft__A2992800142_(4MFC9X-Com_00157643)",S2
"Rotor,_Front_E-Drive_Motor__A2992800146_(4MFC9X-Com_00017625)",S2
Sealed_Ball_Bearing__S0E0510000430M_(4MFC9X-Com_00218284),S2
Deep_Groove_Ball_Bearing_Cage_02__S0E0220000469M_(4MFC9X-Com_00097481),S2
"Stator_Assy,_Front_E-Drive_Motor__A2992800226_(4MFC9X-Com_00017630)",S5
"Housing,_Front_E-Drive_Stator_Assy__A2992800222_(4MFC9X-Com_00102630)",S2
"Casing,_Front_E-Drive_Motor_Outer__A2992800145_(4MFC9X-Com_00017639)",S2
"Access_Cover,_Front_E-Drive_3-Phase_Line__A2992800119_(4MFC9X-Com_00101618)",S2
"Brush,_Rotor_Front_E-Drive_Motor__A2992800154_(4MFC9X-Com_00101622)",S2
"Oil_Seal,_Front_E-Drive_Stator_Housing__A2992800153_(4MFC9X-Com_00101661)",MS04
"Connector,_Front_E-Drive_Motor_Casing__A2991200222_(4MFC9X-Com_00090703)",MS04
"Differential_Unit,_Front_E-Drive__A2992800035_(4MFC9X-Com_00101678)",MS05
Tapered_Roller_Bearing__S0E0010000064A_(4MFC9X-Com_00097543),S2
Tapered_Roller_Bearing_1__S0E0010000064A_(4MFC9X-Com_00097543),S2
"Guide,_Final_Drive_Oil_Front__A2992800121_(4MFC9X-Com_00101708)",S3
"Drive_Gear,_Front_E-Drive_Final_Drive__A2992800128_(4MFC9X-Com_00101717)",MS05
Tapered_Roller_Bearing__S0E0010000064A_(4MFC9X-Com_00097542),S2
Tapered_Roller_Bearing_1__S0E0010000064A_(4MFC9X-Com_00097542),S2
"Casing,_Differential_Side_Final_Drive_Front__A2992800132_(4MFC9X-Com_00101724)",S2
"Casing,_Final_Drive_Front_Inner__A2992800038_(4MFC9X-Com_00101740)",S2
"Shim,_Final_Drive_Front__A2992800131_(4MFC9X-Com_00101746)",S2
"Shim_2,_Final_Drive_Front__A2992800133_(4MFC9X-Com_00106239)",S2
"Drain_Plug,_Final_Drive_Front__A2992800125_(4MFC9X-Com_00101747)",S2
"Output_Shaft,_Final_Drive_Front__A2992800137_(4MFC9X-Com_00101771)",S2
Sealed_Ball_Bearing__S0E0510000402M_(4MFC9X-Com_00218282),S2
"Oil_Seal,_Differential_Casing_Outer_Final_Drive_Front__A2992800130_(4MFC9X-Com_00101823)",MS04
"Oil_Guide,_Final_Drive_Front_Input_Shaft_Bearing__A2992800037_(4MFC9X-Com_00137314)",S3
"Dust_Cover,_Output_shaft_Final_Drive_Final__A2992800150_(4MFC9X-Com_00184752)",S2
"Seal,_Breather_Front_E-Drive__A2992800192_(4MFC9X-Com_00184751)",MS04
"Bracket,_Front_E-Drive_Mounting__A2992800032_(4MFC9X-Com_00029074)",S2
"Breather,_Rear_E-Drive__A2992800073_(4MFC9X-Com_00017704)",MS04
"Breather_2,_Rear_E-Drive__A2992800265_(4MFC9X-Com_00035867)",MS04
"Breather_2,_Rear_E-Drive_1__A2992800265_(4MFC9X-Com_00035867)",MS04
"Terminal,_Rear_E-Drive_3-Phase_Line__A2991200163_(4MFC9X-Com_00102189)",MS04
"Adapter,_Rear_E-Drive_Coolant_Line__A2992800126_(4MFC9X-Com_00102200)",MS04
"Stator,_Rear_E-Drive_Resolver__A2992800081_(4MFC9X-Com_00087948)",MS04
"End_Cover,_Rear_E-Drive_Motor__A2992800110_(4MFC9X-Com_00017724)",S2
"Rotor,_Rear_E-Drive_Resolver__A2992800085_(4MFC9X-Com_00087956)",S2
"Rotor,_Rear_E-Drive_Motor__A2992800139_(4MFC9X-Com_00017747)",MS05
Deep_Groove_Ball_Bearing_Cage_02__S0E0220000469M_(4MFC9X-Com_00097480),S2
Sealed_Ball_Bearing__S0E0510000430M_(4MFC9X-Com_00218283),S2
"Stator_Assy,_Rear_E-Drive_Motor__A2992800224_(4MFC9X-Com_00017754)",S28
"Housing,_Rear_E-Drive_Stator_Assy__A2992800223_(4MFC9X-Com_00102637)",S2
"Casing,_Rear_E-Drive_Motor_Outer__A2992800111_(4MFC9X-Com_00017728)",S2
"Oil_Seal,_Rear_E-Drive_Stator_Housing__A2992800092_(4MFC9X-Com_00102278)",S11
"Lock_Ring,_Rear_E-Drive_Rotor_Shaft__A2992800106_(4MFC9X-Com_00102280)",S2
"Connector,_Rear_E-Drive_Motor_Casing__A2991200165_(4MFC9X-Com_00090722)",MS04
"Carbon_Brush,_Rear_E-Drive_Ground__A2992800263_(4MFC9X-Com_00090704)",S2
"Oil_Seal,_Rear_E-drive_Half_Shaft_Mounting__A2992800093_(4MFC9X-Com_00153537)",MS04
"Differential_Unit,_Rear_E-Drive__A2992800069_(4MFC9X-Com_00102292)",MS05
Tapered_Roller_Bearing__S0E0010000111A_(4MFC9X-Com_00097541),S2
Tapered_Roller_Bearing_1__S0E0010000111A_(4MFC9X-Com_00097541),S2
"Guide,_Oil_Final_Drive_Rear__A2992800026_(4MFC9X-Com_00102321)",S3
"Guide_2,_Oil_Final_Drive_Rear__A2992800078_(4MFC9X-Com_00102642)",S3
"Drive_Shaft,_Final_Drive_Rear__A2992800194_(4MFC9X-Com_00102329)",MS05
"Drive_Gear,_Rear_E-Drive_Final_Drive__A2992800193_(4MFC9X-Com_00102330)",MS05
Tapered_Roller_Bearing__S0E0010000082A_(4MFC9X-Com_00097540),S2
Tapered_Roller_Bearing_1__S0E0010000082A_(4MFC9X-Com_00097540),S2
"Casing,_Differential_Side_Final_Drive_Rear__A2992800079_(4MFC9X-Com_00102337)",S2
"Shim,_Final_Drive_Rear__A2992800070_(4MFC9X-Com_00102361)",S2
"Shim_2,_Final_Drive_Rear__A2992800071_(4MFC9X-Com_00104959)",S2
"Drain_Plug,_Final_Drive_Rear__A2992800076_(4MFC9X-Com_00102362)",S2
"Magnet,_Casing_Final_Drive_Rear__A2992800025_(4MFC9X-Com_00102374)",MS04
"Fill_Plug,_Final_Drive_Rear__A2992800077_(4MFC9X-Com_00102402)",S2
"Oil_Seal,_Differential_Casing_Outer_Final_Drive_Rear__A2992800082_(4MFC9X-Com_00102438)",MS04
"Shim,_Differential_Unit_Final_Drive_Rear__A2992800072_(4MFC9X-Com_00110926)",S2
"Input_Shaft_Assy,_Final_Drive_Rear__A2992800067_(4MFC9X-Com_00110451)",S2
Sealed_Ball_Bearing__S0E0510000605M_(4MFC9X-Com_00208452),S2
"Damper,_Rear_E-Drive_Breather__A2992800074_(4MFC9X-Com_00182348)",MS04
"Mount_Assy,_Rear_E-Drive__A2992800006_(4MFC9X-Com_00061031)",S2
"PCB,_OBCM__A2991200226_(4MFC9X-Com_00017848)",S4
"Top_Cover,_OBCM__A2992800094_(4MFC9X-Com_00017849)",S2
"PCB_2,_OBCM__A2991200248_(4MFC9X-Com_00025616)",S4
"PCB_3,_OBCM__A2991200253_(4MFC9X-Com_00025618)",S4
"Connector,_OBCM__A2991200129_(4MFC9X-Com_00017854)",S5
"Connector_2,_OBCM__A2991200132_(4MFC9X-Com_00032102)",S5
"Insulation,_OBCM_Cover__A2992800097_(4MFC9X-Com_00017859)",MS04
"Insulation_2,_OBCM_Cover__A2992800098_(4MFC9X-Com_00030657)",MS04
"Cover,_OBCM_PCB__A2992800101_(4MFC9X-Com_00017861)",S2
"Cover_2,_OBCM_PCB__A2992800102_(4MFC9X-Com_00030661)",S2
"Casing,_OBCM__A2992800157_(4MFC9X-Com_00017867)",S2
"Breather,_OBCM__A2992800105_(4MFC9X-Com_00045806)",MS04
"Harness,_OBCM__A2991200213_(4MFC9X-Com_00089234)",MS04
"Holder,_OBCM_PCB__A2992800115_(4MFC9X-Com_00282113)",S2
"Holder,_OBCM_PCB_1__A2992800115_(4MFC9X-Com_00282113)",S2
"Cover,_OBCM_Harness__A2992800147_(4MFC9X-Com_00282111)",S2
"Cover_2,_OBCM_Harness__A2992800148_(4MFC9X-Com_00282112)",S2
"Insulation_Pad_2,_OBCM__A2992800162_(4MFC9X-Com_00282295)",S3
"Holder,_OBCM_Harness__A2992800164_(4MFC9X-Com_00282406)",MS04
"Cable,_OBCM_Ground__A2991200022_(4MFC9X-Com_00017871)",S3
"HV_Cable,_OBCM_To_DC-DC_Converter_With_Junction_Box__A2991200143_(4MFC9X-Com_00282072)",S5
"Cable,_Front_Inverter_Ground__A2991200042_(4MFC9X-Com_00039182)",MS04
"PCB,_Front_Inverter__A2991200066_(4MFC9X-Com_00017898)",S4
"Connector,_Front_Inverter__A2991200072_(4MFC9X-Com_00101857)",S5
"Jumper_Harness,_Front_Inverter__A2991200080_(4MFC9X-Com_00101860)",MS04
"Jumper_Harness_2,_Front_Inverter__A2991200091_(4MFC9X-Com_00111660)",MS04
"Breather,_Front_Inverter__A2992800040_(4MFC9X-Com_00101877)",MS04
"Bottom_Cover,_Front_Inverter__A2992800053_(4MFC9X-Com_00046965)",S2
"Top_Cover,_Front_Inverter__A2992800033_(4MFC9X-Com_00058693)",S2
"IGBT_Module,_Front_Inverter__A2991200729_(4MFC9X-Com_00101887)",S2
"SH_Film_Capacitor,_Front_Inverter__A2991200079_(4MFC9X-Com_00101905)",MS04
"Terminal_With_Ferrite_Core,_Front_Inverter__A2991200074_(4MFC9X-Com_00270943)",MS04
"Cover,_Front_Inverter_Capacitor__A2992800103_(4MFC9X-Com_00281820)",S2
"PCB,_Rear_Inverter__A2991200045_(4MFC9X-Com_00017931)",S4
"Connector,_Rear_Inverter__A2991200043_(4MFC9X-Com_00102472)",S5
"Jumper_Harness,_Rear_Inverter__A2991200046_(4MFC9X-Com_00102475)",S3
"Jumper_Harness_2,_Rear_Inverter__A2991200047_(4MFC9X-Com_00111669)",MS04
"Bracket,_Rear_Inverter_PCB__A2991200048_(4MFC9X-Com_00102485)",MS04
"Bracket_2,_Rear_Inverter_PCB__A2991200049_(4MFC9X-Com_00102652)",S2
"Breather,_Rear_Inverter__A2992800027_(4MFC9X-Com_00102492)",MS04
"Bottom_Cover,_Rear_Inverter__A2992800031_(4MFC9X-Com_00046973)",S2
"Top_Cover,_Rear_Inverter__A2992800028_(4MFC9X-Com_00070058)",S2
"MOSFET_With_Capacitor,_Rear_Inverter__A2991200050_(4MFC9X-Com_00199982)",MS04
"Jumper_Harness_3,_Rear_Inverter__A2991200141_(4MFC9X-Com_00111671)",MS04
"Top_Cover,_DC-DC_Converter_2__A2992800528_(4MFC9X-Com_00111679)",S2
